 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.58102e+08   Inhib.Clock = 3.28535e+08   Live = 0.433365
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =  1.71182

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 256   844     6126       17    0.1378 +- 0.0051   0.1384 +- 0.0051
 257   877     6375       21    0.1376 +- 0.0050   0.1383 +- 0.0050
 258   851     6588       20    0.1292 +- 0.0047   0.1298 +- 0.0047
 259  1004     6708       26    0.1497 +- 0.0051   0.1507 +- 0.0051
 260  1135     6970       11    0.1628 +- 0.0052   0.1633 +- 0.0052
 261   244     1859       10    0.1313 +- 0.0089   0.1325 +- 0.0090
 262  1158     6603       19    0.1754 +- 0.0056   0.1762 +- 0.0056
 263   984     5739       15    0.1715 +- 0.0059   0.1722 +- 0.0059
 264   341     2403        3    0.1419 +- 0.0082   0.1422 +- 0.0082
 265   236     1957        6    0.1206 +- 0.0083   0.1212 +- 0.0084
 266  1006     6063        9    0.1659 +- 0.0056   0.1663 +- 0.0057
 267   710     5522       13    0.1286 +- 0.0051   0.1291 +- 0.0052
 268   846     6661       90    0.1270 +- 0.0046   0.1300 +- 0.0048
 269   705     6287       93    0.1121 +- 0.0045   0.1150 +- 0.0046
 270   958     7725       20    0.1240 +- 0.0042   0.1246 +- 0.0043
 271   944     7229       37    0.1306 +- 0.0045   0.1317 +- 0.0046
 272  1027     7935       28    0.1294 +- 0.0043   0.1302 +- 0.0043
 273   982     6757       14    0.1453 +- 0.0050   0.1458 +- 0.0050
 274  1112     6751       16    0.1647 +- 0.0053   0.1654 +- 0.0054
 275  1022     7000       12    0.1460 +- 0.0049   0.1464 +- 0.0049
 276   941     6915       20    0.1361 +- 0.0047   0.1368 +- 0.0048
 277   997     7255       14    0.1374 +- 0.0046   0.1379 +- 0.0047
 278  1127     7408       22    0.1521 +- 0.0049   0.1529 +- 0.0049
 279  1085     7168       20    0.1514 +- 0.0049   0.1521 +- 0.0050
 280  1132     8030       13    0.1410 +- 0.0045   0.1414 +- 0.0045
 281   986     7123        8    0.1384 +- 0.0047   0.1387 +- 0.0047
 282   893     6148       13    0.1453 +- 0.0052   0.1458 +- 0.0052
 283   757     5810       19    0.1303 +- 0.0050   0.1310 +- 0.0051
 284   923     6428        9    0.1436 +- 0.0051   0.1439 +- 0.0051
 285  1249     8326       16    0.1500 +- 0.0046   0.1505 +- 0.0046
 286  1443     8910       21    0.1620 +- 0.0046   0.1626 +- 0.0046
 287  1528     8893       22    0.1718 +- 0.0048   0.1726 +- 0.0048
 288  2136    10581       25    0.2019 +- 0.0048   0.2027 +- 0.0048
 289  1349     6367       17    0.2119 +- 0.0064   0.2128 +- 0.0064
 290  3184    13741       26    0.2317 +- 0.0046   0.2325 +- 0.0046
 291  2295     9776       22    0.2348 +- 0.0054   0.2357 +- 0.0055
 292  3420    13146       22    0.2602 +- 0.0050   0.2609 +- 0.0050
 293  4128    17000       34    0.2428 +- 0.0042   0.2437 +- 0.0042
 294  4543    18463       43    0.2461 +- 0.0041   0.2470 +- 0.0041
 295  4299    17387       34    0.2473 +- 0.0042   0.2481 +- 0.0042
 296  4374    18267       45    0.2394 +- 0.0040   0.2405 +- 0.0041
 297  4310    18163       34    0.2373 +- 0.0040   0.2381 +- 0.0040
 298  4543    17912       24    0.2536 +- 0.0042   0.2542 +- 0.0042
 299  4982    19084       28    0.2611 +- 0.0042   0.2617 +- 0.0042
 300  4588    18950       25    0.2421 +- 0.0040   0.2427 +- 0.0040
 301  4125    19035       16    0.2167 +- 0.0037   0.2170 +- 0.0037
 302  3939    18544       14    0.2124 +- 0.0037   0.2127 +- 0.0037
 303  4135    18474       37    0.2238 +- 0.0039   0.2246 +- 0.0039
 304  4161    18357       22    0.2267 +- 0.0039   0.2271 +- 0.0039
 305  3823    18785       32    0.2035 +- 0.0036   0.2041 +- 0.0036
 306  3657    19326       35    0.1892 +- 0.0034   0.1898 +- 0.0034
 307  4212    19375       41    0.2174 +- 0.0037   0.2182 +- 0.0037
 308   823    14409      196    0.0571 +- 0.0020   0.0585 +- 0.0021
 309  3215    19909       26    0.1615 +- 0.0031   0.1618 +- 0.0031
 310  3553    19508       16    0.1821 +- 0.0033   0.1824 +- 0.0033
 311  3564    18343       22    0.1943 +- 0.0036   0.1947 +- 0.0036
 312  3491    19575       21    0.1783 +- 0.0033   0.1787 +- 0.0033
 313  3360    19548       22    0.1719 +- 0.0032   0.1722 +- 0.0032
 314  3257    18601       21    0.1751 +- 0.0033   0.1754 +- 0.0033
 315  3181    18765       19    0.1695 +- 0.0033   0.1698 +- 0.0033
 316  3014    18989       18    0.1587 +- 0.0031   0.1590 +- 0.0031
 317  2977    19655       21    0.1515 +- 0.0030   0.1517 +- 0.0030
 318  3089    20313       14    0.1521 +- 0.0029   0.1522 +- 0.0029
 319  2991    19413       14    0.1541 +- 0.0030   0.1543 +- 0.0030
 320  3131    20576       21    0.1522 +- 0.0029   0.1524 +- 0.0029
 321  3166    21319       27    0.1485 +- 0.0028   0.1488 +- 0.0028
 322  3177    21558       20    0.1474 +- 0.0028   0.1476 +- 0.0028
 323  1909    14904       18    0.1281 +- 0.0031   0.1284 +- 0.0031
 324  1695    13195       17    0.1285 +- 0.0033   0.1287 +- 0.0033
 325  2648    19834       13    0.1335 +- 0.0028   0.1337 +- 0.0028
 326  2623    19921       22    0.1317 +- 0.0027   0.1319 +- 0.0027
 327  2851    21809       23    0.1307 +- 0.0026   0.1310 +- 0.0026
 328  2797    23524       27    0.1189 +- 0.0024   0.1191 +- 0.0024
 329  2759    23407       36    0.1179 +- 0.0024   0.1182 +- 0.0024
 330  2472    23216       25    0.1065 +- 0.0023   0.1067 +- 0.0023
 331  2273    23360       22    0.0973 +- 0.0021   0.0975 +- 0.0021
 332  1873    20531       21    0.0912 +- 0.0022   0.0914 +- 0.0022
 333  2055    21167       21    0.0971 +- 0.0022   0.0973 +- 0.0022
 334  2944    27965       35    0.1053 +- 0.0020   0.1055 +- 0.0020
 335  2995    27501       23    0.1089 +- 0.0021   0.1091 +- 0.0021
 336  3308    27356       21    0.1209 +- 0.0022   0.1211 +- 0.0022
 337     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 338     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 339     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 340     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 341     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 342     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 343     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 344     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 345     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 346     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 347     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 348     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 349     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 350     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 351     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000

Mean tagging efficiency  0.1574 +-  0.0006
	                       0.1555 +-  0.0005 without background subtraction

