 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 8.35397e+08   Inhib.Clock = 3.49848e+08   Live =  0.41878
Backgr.clock = 9.30932e+08    Backgr.Inhib.clock = 2.73464e+08  Live = 0.293753
Background scale factor =  1.27932

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 220   922     3807       82    0.2422 +- 0.0089   0.2490 +- 0.0092
 221  1010     4057      101    0.2490 +- 0.0088   0.2571 +- 0.0091
 222  1162     4420      113    0.2629 +- 0.0087   0.2718 +- 0.0091
 223  1209     4658      114    0.2596 +- 0.0084   0.2679 +- 0.0087
 224  1168     4574      119    0.2554 +- 0.0084   0.2641 +- 0.0088
 225  1220     4977      130    0.2451 +- 0.0078   0.2536 +- 0.0082
 226  1031     4054       95    0.2543 +- 0.0089   0.2622 +- 0.0092
 227  1161     4148      106    0.2799 +- 0.0093   0.2894 +- 0.0097
 228  1333     4894      106    0.2724 +- 0.0084   0.2801 +- 0.0087
 229  1264     4886      102    0.2587 +- 0.0082   0.2658 +- 0.0085
 230  1346     4664       99    0.2886 +- 0.0089   0.2966 +- 0.0093
 231  1358     4875      116    0.2786 +- 0.0085   0.2873 +- 0.0089
 232  1338     5056      106    0.2646 +- 0.0081   0.2719 +- 0.0084
 233  1344     5099      110    0.2636 +- 0.0081   0.2711 +- 0.0084
 234  1354     5081      115    0.2665 +- 0.0082   0.2744 +- 0.0085
 235  1478     5190      119    0.2848 +- 0.0084   0.2934 +- 0.0087
 236  1556     5655      124    0.2752 +- 0.0079   0.2831 +- 0.0082
 237  1630     5759      128    0.2830 +- 0.0079   0.2913 +- 0.0083
 238  1793     5712      132    0.3139 +- 0.0085   0.3235 +- 0.0089
 239  1740     5082      108    0.3424 +- 0.0095   0.3520 +- 0.0099
 240  1724     5513      126    0.3127 +- 0.0086   0.3221 +- 0.0090
 241  1830     5952      133    0.3075 +- 0.0082   0.3165 +- 0.0086
 242  1795     6002      122    0.2991 +- 0.0080   0.3071 +- 0.0083
 243  1815     6011      144    0.3019 +- 0.0081   0.3115 +- 0.0084
 244  1841     5942      120    0.3098 +- 0.0083   0.3180 +- 0.0086
 245  1847     5888      154    0.3137 +- 0.0084   0.3245 +- 0.0088
 246  2007     6278      133    0.3197 +- 0.0082   0.3286 +- 0.0085
 247  1861     6259      125    0.2973 +- 0.0079   0.3051 +- 0.0081
 248  1908     6290      133    0.3033 +- 0.0079   0.3118 +- 0.0082
 249  1766     6226      142    0.2836 +- 0.0076   0.2922 +- 0.0080
 250  1753     5727      119    0.3061 +- 0.0084   0.3145 +- 0.0087
 251  1685     5456      113    0.3088 +- 0.0086   0.3172 +- 0.0089
 252  1728     5969      133    0.2895 +- 0.0079   0.2980 +- 0.0082
 253  1880     6450      150    0.2915 +- 0.0076   0.3004 +- 0.0080
 254  1856     6839      166    0.2714 +- 0.0071   0.2801 +- 0.0074
 255  1899     7029      157    0.2702 +- 0.0070   0.2781 +- 0.0073
 256  1756     6906      146    0.2543 +- 0.0068   0.2613 +- 0.0071
 257  1667     7019      148    0.2375 +- 0.0065   0.2441 +- 0.0067
 258  1763     7338      150    0.2403 +- 0.0064   0.2467 +- 0.0066
 259  1854     7370      177    0.2516 +- 0.0065   0.2595 +- 0.0068
 260  2276     7665      187    0.2969 +- 0.0071   0.3065 +- 0.0074
 261   535     2217       44    0.2413 +- 0.0116   0.2476 +- 0.0120
 262  2286     7292      181    0.3135 +- 0.0075   0.3238 +- 0.0079
 263  2017     6472      129    0.3117 +- 0.0079   0.3198 +- 0.0082
 264  1063     3934       93    0.2702 +- 0.0093   0.2786 +- 0.0097
 265   840     3181       85    0.2641 +- 0.0102   0.2734 +- 0.0107
 266  2047     6729      140    0.3042 +- 0.0077   0.3125 +- 0.0080
 267  1505     6188      130    0.2432 +- 0.0070   0.2499 +- 0.0072
 268  1750     7506      244    0.2331 +- 0.0062   0.2433 +- 0.0065
 269  1541     7126      259    0.2163 +- 0.0061   0.2268 +- 0.0065
 270  1961     8465      183    0.2317 +- 0.0058   0.2382 +- 0.0060
 271  1974     8042      199    0.2455 +- 0.0062   0.2535 +- 0.0064
 272  2169     8966      193    0.2419 +- 0.0058   0.2488 +- 0.0060
 273  2148     7402      168    0.2902 +- 0.0071   0.2989 +- 0.0074
 274  2109     7377      169    0.2859 +- 0.0071   0.2945 +- 0.0074
 275  2132     7944      174    0.2684 +- 0.0065   0.2761 +- 0.0068
 276  1972     7742      168    0.2547 +- 0.0064   0.2620 +- 0.0067
 277  2106     8407      179    0.2505 +- 0.0061   0.2575 +- 0.0063
 278  2263     8208      197    0.2757 +- 0.0065   0.2844 +- 0.0068
 279  2350     8249      191    0.2849 +- 0.0067   0.2936 +- 0.0069
 280  2352     9078      205    0.2591 +- 0.0060   0.2668 +- 0.0062
 281  2001     8181      168    0.2446 +- 0.0061   0.2512 +- 0.0063
 282  2204     8064      172    0.2733 +- 0.0066   0.2810 +- 0.0068
 283  1977     7455      138    0.2652 +- 0.0067   0.2716 +- 0.0069
 284  2321     7870      132    0.2949 +- 0.0070   0.3014 +- 0.0072
 285  3874    10954      167    0.3537 +- 0.0066   0.3607 +- 0.0068
 286  5161    12734      212    0.4053 +- 0.0067   0.4141 +- 0.0069
 287  6347    13943      209    0.4552 +- 0.0069   0.4641 +- 0.0071
 288  8743    16940      292    0.5161 +- 0.0068   0.5278 +- 0.0070
 289  5203    10209      200    0.5096 +- 0.0087   0.5227 +- 0.0090
 290 10678    20302      413    0.5260 +- 0.0063   0.5400 +- 0.0066
 291  6826    13702      288    0.4982 +- 0.0074   0.5119 +- 0.0077
 292  8685    16608      340    0.5229 +- 0.0069   0.5370 +- 0.0072
 293  9456    20144      418    0.4694 +- 0.0059   0.4822 +- 0.0061
 294  8987    20633      487    0.4356 +- 0.0055   0.4491 +- 0.0058
 295  8302    18856      405    0.4403 +- 0.0058   0.4527 +- 0.0060
 296  8331    19687      431    0.4232 +- 0.0055   0.4354 +- 0.0058
 297  8147    19438      423    0.4191 +- 0.0055   0.4311 +- 0.0058
 298  8432    19391      452    0.4348 +- 0.0057   0.4482 +- 0.0059
 299  9117    20055      478    0.4546 +- 0.0057   0.4689 +- 0.0060
 300  8298    19785      451    0.4194 +- 0.0055   0.4320 +- 0.0057
 301  7880    20580      412    0.3829 +- 0.0051   0.3930 +- 0.0053
 302  7471    19852      407    0.3763 +- 0.0051   0.3865 +- 0.0053
 303  7709    19968      413    0.3861 +- 0.0052   0.3966 +- 0.0054
 304  7771    19715      441    0.3942 +- 0.0053   0.4058 +- 0.0055
 305  7304    20306      433    0.3597 +- 0.0049   0.3698 +- 0.0051
 306  7084    20795      435    0.3407 +- 0.0047   0.3500 +- 0.0049
 307  7879    21154      451    0.3725 +- 0.0049   0.3829 +- 0.0051
 308  1526    15986      697    0.0955 +- 0.0026   0.1011 +- 0.0027
 309  6101    21306      496    0.2864 +- 0.0042   0.2951 +- 0.0043
 310  6992    21445      471    0.3260 +- 0.0045   0.3355 +- 0.0047
 311  6697    19913      425    0.3363 +- 0.0048   0.3458 +- 0.0049
 312  6591    20805      443    0.3168 +- 0.0045   0.3257 +- 0.0047
 313  6206    21063      424    0.2946 +- 0.0043   0.3024 +- 0.0044
 314  6139    20046      417    0.3062 +- 0.0045   0.3146 +- 0.0046
 315  6406    20610      428    0.3108 +- 0.0044   0.3193 +- 0.0046
 316  5804    20741      426    0.2798 +- 0.0042   0.2874 +- 0.0043
 317  6021    22095      448    0.2725 +- 0.0040   0.2798 +- 0.0041
 318  6200    22196      455    0.2793 +- 0.0040   0.2869 +- 0.0042
 319  6030    21172      429    0.2848 +- 0.0042   0.2924 +- 0.0043
 320  6220    22711      422    0.2739 +- 0.0039   0.2805 +- 0.0040
 321  6208    23649      473    0.2625 +- 0.0037   0.2694 +- 0.0039
 322  6039    23739      510    0.2544 +- 0.0037   0.2616 +- 0.0038
 323  4349    18464      428    0.2355 +- 0.0040   0.2427 +- 0.0041
 324  3887    16039      405    0.2423 +- 0.0043   0.2504 +- 0.0045
 325  5513    22254      430    0.2477 +- 0.0037   0.2540 +- 0.0039
 326  5146    22098      427    0.2329 +- 0.0036   0.2388 +- 0.0037
 327  5780    24780      457    0.2333 +- 0.0034   0.2389 +- 0.0035
 328  5966    26589      551    0.2244 +- 0.0032   0.2305 +- 0.0033
 329  5647    25993      553    0.2173 +- 0.0032   0.2233 +- 0.0033
 330  5150    26532      500    0.1941 +- 0.0030   0.1989 +- 0.0030
 331  4760    26986      527    0.1764 +- 0.0028   0.1809 +- 0.0029
 332  4606    25752      502    0.1789 +- 0.0029   0.1834 +- 0.0030
 333  4834    25803      486    0.1873 +- 0.0029   0.1920 +- 0.0030
 334  6021    31094      592    0.1936 +- 0.0027   0.1985 +- 0.0028
 335  6234    30900      625    0.2017 +- 0.0028   0.2071 +- 0.0029
 336  6878    30351      581    0.2266 +- 0.0030   0.2323 +- 0.0031
 337     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 338     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 339     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 340     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 341     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 342     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 343     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 344     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 345     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 346     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 347     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 348     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 349     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 350     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000
 351     0        0        0    0.0000 +- 0.0000   0.0000 +- 0.0000

Mean tagging efficiency  0.3067 +-  0.0008
	                       0.2952 +-  0.0007 without background subtraction

