 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 5.4924e+08   Inhib.Clock = 1.87177e+08   Live = 0.340792
Backgr.clock = 1.51349e+09    Backgr.Inhib.clock = 5.07553e+08  Live = 0.335354
Background scale factor = 0.368782

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 281     0        9     9713    0.0000 +- 0.0000   0.0000 +- 0.0000
 282     0       10     8670    0.0000 +- 0.0000   0.0000 +- 0.0000
 283     0        5     7989    0.0000 +- 0.0000   0.0000 +- 0.0000
 284     0        6     8519    0.0000 +- 0.0000   0.0000 +- 0.0000
 285     0        6    10575    0.0000 +- 0.0000   0.0000 +- 0.0000
 286     0       12    10975    0.0000 +- 0.0000   0.0000 +- 0.0000
 287     0       11    10618    0.0000 +- 0.0000   0.0000 +- 0.0000
 288     0       11    11646    0.0000 +- 0.0000   0.0000 +- 0.0000
 289     0        8     6727    0.0000 +- 0.0000   0.0000 +- 0.0000
 290     0       21    12952    0.0000 +- 0.0000   0.0000 +- 0.0000
 291     0       11     8469    0.0000 +- 0.0000   0.0000 +- 0.0000
 292     0       11    10557    0.0000 +- 0.0000   0.0000 +- 0.0000
 293     0       20    13072    0.0000 +- 0.0000   0.0000 +- 0.0000
 294     0       23    13721    0.0000 +- 0.0000   0.0000 +- 0.0000
 295     0       18    12716    0.0000 +- 0.0000   0.0000 +- 0.0000
 296     0       15    13291    0.0000 +- 0.0000   0.0000 +- 0.0000
 297     0       18    13093    0.0000 +- 0.0000   0.0000 +- 0.0000
 298     0       17    13249    0.0000 +- 0.0000   0.0000 +- 0.0000
 299     0       20    14161    0.0000 +- 0.0000   0.0000 +- 0.0000
 300     0       21    14588    0.0000 +- 0.0000   0.0000 +- 0.0000
 301     0       19    15124    0.0000 +- 0.0000   0.0000 +- 0.0000
 302     0       14    14927    0.0000 +- 0.0000   0.0000 +- 0.0000
 303     0       12    15131    0.0000 +- 0.0000   0.0000 +- 0.0000
 304     0       18    15443    0.0000 +- 0.0000   0.0000 +- 0.0000
 305     0       18    15912    0.0000 +- 0.0000   0.0000 +- 0.0000
 306     0       26    16680    0.0000 +- 0.0000   0.0000 +- 0.0000
 307     0       23    16646    0.0000 +- 0.0000   0.0000 +- 0.0000
 308     0      108    14905    0.0000 +- 0.0000   0.0000 +- 0.0000
 309     0       18    17674    0.0000 +- 0.0000   0.0000 +- 0.0000
 310     0       17    17849    0.0000 +- 0.0000   0.0000 +- 0.0000
 311     0       14    16918    0.0000 +- 0.0000   0.0000 +- 0.0000
 312     0       11    18028    0.0000 +- 0.0000   0.0000 +- 0.0000
 313     0       15    18560    0.0000 +- 0.0000   0.0000 +- 0.0000
 314     0       13    17837    0.0000 +- 0.0000   0.0000 +- 0.0000
 315     0       11    18496    0.0000 +- 0.0000   0.0000 +- 0.0000
 316     0       15    18665    0.0000 +- 0.0000   0.0000 +- 0.0000
 317     0       12    19524    0.0000 +- 0.0000   0.0000 +- 0.0000
 318     0       12    20215    0.0000 +- 0.0000   0.0000 +- 0.0000
 319     0       15    19633    0.0000 +- 0.0000   0.0000 +- 0.0000
 320     0       12    20901    0.0000 +- 0.0000   0.0000 +- 0.0000
 321     0       10    21959    0.0000 +- 0.0000   0.0000 +- 0.0000
