 Tagging efficiency calculation
 J.R.M.Annand 2008.10.02
Clock = 7.35189e+08   Inhib.Clock = 3.26688e+08   Live = 0.444359
Backgr.clock = 5.63181e+08    Backgr.Inhib.clock = 1.91921e+08  Live = 0.340781
Background scale factor =   1.7022

  Chan  Hits  Scaler Background     TaggEff        TaggEff(back-sub)
 269   796     7700       93    0.1034 +- 0.0038   0.1055 +- 0.0039
 270   987     9135       20    0.1080 +- 0.0036   0.1085 +- 0.0036
 271   953     8840       37    0.1078 +- 0.0037   0.1086 +- 0.0037
 272  1072     9542       28    0.1123 +- 0.0036   0.1129 +- 0.0036
 273  1070     8264       14    0.1295 +- 0.0042   0.1299 +- 0.0042
 274  1230     8320       16    0.1478 +- 0.0045   0.1483 +- 0.0045
 275  1121     8651       12    0.1296 +- 0.0041   0.1299 +- 0.0041
 276  1103     8551       20    0.1290 +- 0.0041   0.1295 +- 0.0041
 277  1144     9151       14    0.1250 +- 0.0039   0.1253 +- 0.0039
 278  1140     8754       22    0.1302 +- 0.0041   0.1308 +- 0.0041
 279  1183     8703       20    0.1359 +- 0.0042   0.1365 +- 0.0042
 280  1279     9794       13    0.1306 +- 0.0039   0.1309 +- 0.0039
 281  1052     8792        8    0.1197 +- 0.0039   0.1198 +- 0.0039
 282   942     7331       13    0.1285 +- 0.0044   0.1289 +- 0.0045
 283   839     6773       19    0.1239 +- 0.0045   0.1245 +- 0.0046
 284   903     7509        9    0.1203 +- 0.0042   0.1205 +- 0.0042
 285  1184     9732       16    0.1217 +- 0.0037   0.1220 +- 0.0038
 286  1234     9886       21    0.1248 +- 0.0038   0.1253 +- 0.0038
 287  1244     9694       22    0.1283 +- 0.0039   0.1288 +- 0.0039
 288  1464    10421       25    0.1405 +- 0.0039   0.1411 +- 0.0039
 289   801     5896       17    0.1359 +- 0.0051   0.1365 +- 0.0051
 290  1586    11712       26    0.1354 +- 0.0036   0.1359 +- 0.0036
 291   977     7568       22    0.1291 +- 0.0044   0.1297 +- 0.0044
 292  1230     9338       22    0.1317 +- 0.0040   0.1323 +- 0.0040
 293  1479    11929       34    0.1240 +- 0.0034   0.1246 +- 0.0034
 294  1461    12380       43    0.1180 +- 0.0033   0.1187 +- 0.0033
 295  1441    11471       34    0.1256 +- 0.0035   0.1263 +- 0.0035
 296  1416    12393       45    0.1143 +- 0.0032   0.1150 +- 0.0032
 297  1372    12043       34    0.1139 +- 0.0032   0.1145 +- 0.0033
 298  1542    11924       24    0.1293 +- 0.0035   0.1298 +- 0.0035
 299  1755    12958       28    0.1354 +- 0.0034   0.1359 +- 0.0035
 300  1628    13092       25    0.1244 +- 0.0033   0.1248 +- 0.0033
 301  1556    13723       16    0.1134 +- 0.0030   0.1136 +- 0.0030
 302  1564    13514       14    0.1157 +- 0.0031   0.1159 +- 0.0031
 303  1638    13634       37    0.1201 +- 0.0031   0.1207 +- 0.0032
